,t_au,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6,Field_7,Field_8,Field_9,Field_10,Field_11,Field_12,Field_13,Field_14,Field_15,Field_16,Field_17,Field_18
0,-1000.0,1.700141331e-109,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115
1,-999.75,1.700141331e-109,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115
2,-999.5,1.700141331e-109,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115
3,-999.25,1.700141331e-109,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115
4,-999.0,1.700141331e-109,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115
5,-998.75,1.700141331e-109,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115
6,-998.5,1.700141331e-109,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115
7,-998.25,1.700141331e-109,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115
8,-998.0,1.700141331e-109,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115
9,-997.75,1.700141331e-109,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,7.89172554e-118,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115,1.026023006e-115
