,tau(fs),tau(au),P_ion(tau),P_ion_perturb
0,-7.082251423951201,-292.79,0.01484220562,0.01484220562
1,-6.167913147967201,-254.99,0.01483963434,0.01483963434
2,-5.253332983550401,-217.18,0.01484086577,0.01484086577
3,-4.3389947075664,-179.38,0.01484576933,0.01484576933
4,-3.4246564315824,-141.58,0.01484459509,0.01484459509
5,-2.5100762671656,-103.77,0.01483117752,0.01483117752
6,-2.259237962352,-93.4,0.01483865585,0.01483865585
7,-2.0081577691056,-83.02,0.01490965411,0.01490965411
8,-1.7570775758592,-72.64,0.01486083738,0.01486083738
9,-1.5059973826128,-62.26,0.01472376191,0.01472376191
10,-1.2551590777992,-51.89,0.01488045032,0.01488045032
11,-1.0040788845528,-41.51,0.0149074621,0.0149074621
12,-0.7529986913064,-31.13,0.01455059762,0.01455059762
13,-0.50191849806,-20.75,0.01492199531,0.01492199531
14,-0.2510801932464,-10.38,0.01552854844,0.01552854844
15,0.0,0.0,0.01483875309,0.01483875309
16,0.2510801932464,10.38,0.01419276705,0.01419276705
17,0.50191849806,20.75,0.01482600274,0.01482600274
18,0.7529986913064,31.13,0.01514178113,0.01514178113
19,1.0040788845528,41.51,0.01476267883,0.01476267883
20,1.2551590777992,51.89,0.01481359371,0.01481359371
21,1.5059973826128,62.26,0.01499720729,0.01499720729
22,1.7570775758592,72.64,0.01484155063,0.01484155063
23,2.0081577691056,83.02,0.01476855544,0.01476855544
24,2.259237962352,93.4,0.01484675672,0.01484675672
25,2.5100762671656,103.77,0.01485905484,0.01485905484
26,3.4246564315824,141.58,0.01484252199,0.01484252199
27,4.3389947075664,179.38,0.01484233051,0.01484233051
28,5.253332983550401,217.18,0.01484250332,0.01484250332
29,6.167913147967201,254.99,0.01484249906,0.01484249906
30,7.082251423951201,292.79,0.01484228719,0.01484228719
31,7.9965896999352,330.59,0.01484235537,0.01484235537
32,8.9109279759192,368.39,0.01484254209,0.01484254209
33,9.825508140336,406.2,0.01484246561,0.01484246561
34,10.73984641632,444.0,0.01484228537,0.01484228537
35,11.654184692304,481.8,0.01484237932,0.01484237932
